mall_name,latitude,longitude
The Concourse,1.3008746,103.8618842
STELLAR@TE2,1.4350534,103.7881753
Sengkang Grand Mall,1.3832033,103.8922549
Pasir Ris Mall,1.3738493,103.9487932
Eastlink Mall,1.3543667,103.9442778
Dairy Farm Mall,1.3660137,103.7750268
Balmoral Plaza,1.3164924,103.8354561
One Holland Village,1.3111168,103.7941049
Mall 3,1.3227569,103.8140844
Mall 4,1.3227493,103.8141285
Mall 5,1.3227418,103.8141725
Mall 6,1.3227343,103.8142161
Mall 7,1.3227268,103.8142596
Mall 8,1.3227193,103.8143032
Mall 9,1.3227119,103.8143467
Mall 10,1.3227045,103.8143899
Mall 11,1.3226971,103.8144327
Mall 12,1.3226155,103.814487
Big Block,1.2925509,103.8389758
Taman Jurong Shopping Centre,1.3348278,103.7204648
888 Plaza,1.4378145,103.7952897
The Shoppes at Marina Bay Sands,1.2840201,103.8588924
VivoCity,1.2643743,103.8220879
Boon Lay Shopping Centre,1.3463274,103.7124831
Mall 13,1.389357,103.8493212
Tampines Mart,1.354402,103.9600729
Far East Plaza,1.3071357,103.833913
Elias Mall,1.3785776,103.942013
Keat Hong Shopping Centre,1.3773259,103.7444324
Dawson Place,1.2926708,103.8110959
Bedok Mall,1.3248368,103.929246
Velocity @ Novena Square,1.3197931,103.8438327
JEM,1.3331331,103.7433992
Northshore Plaza I,1.4166829,103.9020857
Concorde Shopping Centre,1.2889501,103.8342288
The Woodgrove,1.4290911,103.7811363
Cluny Court,1.3226411,103.814272
Vista Point,1.4309594,103.7939196
PARKTOWN,1.3669054,103.9378084
