Station_Name,Station_Type,Latitude,Longitude
ORCHARD BOULEVARD MRT STATION,MRT,1.30186,103.8244
BARTLEY MRT STATION,MRT,1.3425,103.88018
CITY HALL MRT STATION,MRT,1.29308,103.85211
MACPHERSON MRT STATION,MRT,1.32698,103.8899
BOON KENG MRT STATION,MRT,1.31952,103.86178
SEGAR LRT STATION,LRT,1.38731,103.76967
PROMENADE MRT STATION,MRT,1.2931,103.86115
GUL CIRCLE MRT STATION,MRT,1.31979,103.66065
UPPER THOMSON MRT STATION,MRT,1.35486,103.83503
BRIGHT HILL MRT STATION,MRT,1.36263,103.83212
BUGIS MRT STATION,MRT,1.30014,103.85586
ANG MO KIO MRT STATION,MRT,1.37,103.84961
MARYMOUNT MRT STATION,MRT,1.34884,103.83938
WOODLEIGH MRT STATION,MRT,1.339,103.8707
CANBERRA MRT STATION,MRT,1.44303,103.82973
SIMEI MRT STATION,MRT,1.34381,103.95334
BENDEMEER MRT STATION,MRT,1.31368,103.86215
LORONG CHUAN MRT STATION,MRT,1.35162,103.86432
SENGKANG LRT STATION,LRT,1.39173,103.89518
COMMONWEALTH MRT STATION,MRT,1.30247,103.79779
NAPIER MRT STATION,MRT,1.31181,103.82063
GEYLANG BAHRU MRT STATION,MRT,1.32107,103.87165
CLARKE QUAY MRT STATION,MRT,1.28869,103.84668
BEDOK RESERVOIR MRT STATION,MRT,1.33624,103.93334
MARINE TERRACE MRT STATION,MRT,1.30643,103.91288
BEDOK NORTH MRT STATION,MRT,1.33507,103.91768
BRADDELL MRT STATION,MRT,1.34073,103.84678
CLEMENTI MRT STATION,MRT,1.31498,103.76523
MARINA SOUTH PIER MRT STATION,MRT,1.27135,103.86315
TUAS LINK MRT STATION,MRT,1.3404,103.63663
STEVENS MRT STATION,MRT,1.32003,103.82566
SENJA LRT STATION,LRT,1.38269,103.76245
HAW PAR VILLA MRT STATION,MRT,1.28235,103.78186
CHOA CHU KANG MRT STATION,MRT,1.38527,103.7442
KEAT HONG LRT STATION,LRT,1.37873,103.74902
ADMIRALTY MRT STATION,MRT,1.44062,103.80099
REDHILL MRT STATION,MRT,1.2897,103.81687
UPPER CHANGI MRT STATION,MRT,1.34152,103.96158
TELOK AYER MRT STATION,MRT,1.28201,103.84848
NOVENA MRT STATION,MRT,1.32033,103.84384
BOON LAY MRT STATION,MRT,1.33869,103.70579
KATONG PARK MRT STATION,MRT,1.30161,103.89571
TANJONG KATONG MRT STATION,MRT,1.30766,103.90073
RAFFLES PLACE MRT STATION,MRT,1.28399,103.85141
