name,category,lat,lon,brand,address,website,phone
Cold Storage Fresh,supermarket,1.3101598,103.7953924,,Holland Avenue,,+65 6468 5566
NTUC FairPrice,supermarket,1.2909214,103.8026888,,,,
NTUC FairPrice,supermarket,1.2864697,103.8265783,NTUC Fairprice,,,
Cold Storage,supermarket,1.3874746,103.8693009,,Seletar Road,,
Cold Storage,supermarket,1.3916794,103.8948873,,Sengkang Square,https://coldstorage.com.sg,
NTUC Fairprice,supermarket,1.375571,103.8795488,NTUC Fairprice,,,
Sheng Siong,supermarket,1.3677466,103.8364503,Sheng Siong,,,
Sheng Shiong,supermarket,1.3702891,103.8434139,,Ang Mo Kio Avenue 3,,
NTUC FairPrice Xtra,supermarket,1.3693018,103.8488529,,AMK Hub,https://fairprice.com.sg/,+65 64532521
NTUC FairPrice,supermarket,1.3543366,103.8302338,NTUC Fairprice,Upper Thomson Road,https://www.fairprice.com.sg/,+65 6454 7738
ACE Marketplace,supermarket,1.2777764,103.8310198,,,,
NTUC FairPrice,supermarket,1.2973182,103.8383052,NTUC FairPrice,"Killiney Road, Orchard Grand Court",https://www.fairprice.com.sg/,+65 67344450
Cold Storage,supermarket,1.3307365,103.7955242,,Fifth Avenue,https://coldstorage.com.sg/,
Cold Storage,supermarket,1.3010098,103.8450553,,Orchard Road,https://coldstorage.com.sg/,+65 6238 6761
NTUC FairPrice,supermarket,1.4363491,103.7857696,NTUC Fairprice,Woodlands Square,,
NTUC FairPrice,supermarket,1.4353183,103.7865131,,,,
NTUC FairPrice Finest,supermarket,1.3004599,103.8371761,,111 Somerset,,+65 62193378
NTUC FairPrice Xtra,supermarket,1.3396665,103.7055473,,Jurong Central 3,,+65 6790 1477
NTUC FairPrice Xtra,supermarket,1.3510423,103.8722775,NTUC Fairprice,Serangoon Central,https://www.fairprice.com.sg/,
Giant,supermarket,1.3340708,103.7472706,,Jurong East Street 21,https://giant.sg/,+65 65643811
Giant,supermarket,1.3779605,103.73864,,"Blk 475 Choa Chu Kang Ave 3, Sunshine PlaceX",,
Sheng Siong,supermarket,1.3805261,103.7600191,Sheng Siong,Woodlands Road,,+65 6219 3106
Cold Storage,supermarket,1.3020336,103.8763916,,Stadium Walk,,
NTUC FairPrice,supermarket,1.2744573,103.8436539,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.2760543,103.843136,NTUC Fairprice,Tanjong Pagar Road,,
NTUC FairPrice,supermarket,1.3382406,103.7783181,NTUC Fairprice,Jalan Anak Bukit,,
NTUC FairPrice,supermarket,1.3464969,103.7121589,,Boon Lay Place,,
FairPrice Finest @ Scotts,supermarket,1.3059351,103.8328831,NTUC FairPrice,,,
NTUC FairPrice Finest,supermarket,1.3345959,103.9627854,NTUC Fairprice,Changi Business Park Central 1,https://www.fairprice.com.sg/,+65 64438547
NTUC FairPrice,supermarket,1.2829291,103.8175344,NTUC Fairprice,Bukit Merah Central,,
NTUC FairPrice,supermarket,1.3239226,103.8098403,NTUC Fairprice,Bukit Timah Road,,+65 6469 6245
NTUC Fairprice Finest,supermarket,1.380491,103.7641782,NTUC Fairprice,Jelebu Road,,+65 6762 8876
NTUC FairPrice,supermarket,1.3430246,103.9528291,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3521442,103.9444897,NTUC FairPrice,Tampines Mall,,
NTUC Fairprice,supermarket,1.3724307,103.9496345,NTUC Fairprice,Pasir Ris Central Street 3,https://www.fairprice.com.sg/,+65 65850536
NTUC Fairprice,supermarket,1.3760422,103.9553166,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3186022,103.8944483,,,https://www.fairprice.com.sg/,
NTUC Fairprice,supermarket,1.320599,103.8442909,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3849878,103.7450943,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3971564,103.7466885,NTUC Fairprice,,,
Cold Storage,supermarket,1.2643809,103.820063,,Maritime Square,https://coldstorage.com.sg/,
CS Fresh,supermarket,1.2938703,103.8319081,,Kim Seng Road,,
Cold Storage,supermarket,1.2994693,103.787506,,Fusionopolis Way,,
Cold Storage,supermarket,1.3021406,103.8353196,,Orchard Road,https://coldstorage.com.sg/,
Cold Storage,supermarket,1.3037215,103.7657354,,West Coast Road,,
Cold Storage Fresh,supermarket,1.3070599,103.7879849,The Star Vista,Vista Exchange Green,https://coldstorage.com.sg/,+65 66943224
Cold Storage,supermarket,1.3168348,103.8434897,,Thomson Road,,
Grindelwald,supermarket,1.3220913,103.7702616,,Clementi Street 11,,+65 6775 4947
Cold Storage,supermarket,1.3501335,103.8732256,Cold Storage,Serangoon Central,https://coldstorage.com.sg/,
Cold Storage,supermarket,1.3539198,103.9452276,,Tampines 1,https://coldstorage.com.sg/,
Cold Storage,supermarket,1.3558211,103.9898809,,,,
Cold Storage,supermarket,1.3593977,103.8849418,,Hougang Street 21,,
Cold Storage Fresh,supermarket,1.2934639,103.8531044,Cold Storage,North Bridge Road Raffles City,,
CS Fresh Gold,supermarket,1.3035875,103.8359057,,Orchard Road,https://coldstorage.com.sg/,
Cold Storage Fresh Gold,supermarket,1.3048473,103.8242276,Cold Storage,Tanglin Road Tanglin Mall,https://coldstorage.com.sg/,
CS Fresh,supermarket,1.3049612,103.9052732,,East Coast Road,,
ThreeSixty,supermarket,1.3041529,103.8316657,,,,
Cold Storage,supermarket,1.3235953,103.7675432,,Sunset Way,https://coldstorage.com.sg/,
Sheng Siong,supermarket,1.3381024,103.9234133,Sheng Siong,Bedok Reservoir Road,,
NTUC Fairprice,supermarket,1.3151914,103.8495849,NTUC Fairprice,,,
Sheng Siong,supermarket,1.3150492,103.7711263,,Clementi Avenue 2,,
NTUC FairPrice,supermarket,1.3144431,103.7711879,NTUC Fairprice,Clementi Avenue 2,,
Giant,supermarket,1.3201477,103.8873042,,Aljunied Avenue 2,,
NTUC FairPrice,supermarket,1.3796884,103.9362379,,,,
Giant,supermarket,1.4403979,103.8005616,,"70 Woodlands Ave 7, Admiralty MRT Station",,
Econ Minimart,supermarket,1.3237921,103.9107829,,,,
NTUC FairPrice,supermarket,1.3236799,103.9108467,,,,
NTUC FairPrice,supermarket,1.2855811,103.8451805,NTUC FairPrice,Chinatown Point,https://fairprice.com.sg/,+65 67020381
Daiso,supermarket,1.3114628,103.8568212,,,,
NTUC FairPrice,supermarket,1.3115258,103.8563897,NTUC FairPrice,Kitchener Road,https://www.fairprice.com.sg/,+65 6509 6260
Cold Storage,supermarket,1.320133,103.843935,Cold Storage,Thomson Road,https://coldstorage.com.sg/,
Giant,supermarket,1.4456477,103.7979298,,"Blk 768 Woodlands Ave 6, Woodlands Mart",,
PRIME,supermarket,1.4401493,103.8016636,,,,
PRIME,supermarket,1.4458917,103.7978443,,,,
NTUC FairPrice,supermarket,1.4385636,103.7952187,,,,
NTUC FairPrice,supermarket,1.430908,103.7907695,,Woodlands Avenue 1,,+65 6339 2996
,supermarket,1.448068,103.801034,,,,
Giant,supermarket,1.4425618,103.7904903,,"Blk 883 Woodlands St 82, Woodlands North Plaza",,
NTUC FairPrice,supermarket,1.4325561,103.7744928,,,,
NTUC FairPrice,supermarket,1.4289998,103.8350138,,,,
Cold Storage,supermarket,1.4292976,103.8357691,,Yishun Avenue 2,,
Seven eleven,supermarket,1.3234468,103.8173675,,,,
Sheng Siong,supermarket,1.310071,103.7687703,Sheng Siong,Clementi Avenue 1,,
NTUC FairPrice,supermarket,1.3571301,103.8438701,NTUC Fairprice,Bishan Street 24,,
NTUC FairPrice Xtra,supermarket,1.3331979,103.7428255,NTUC Fairprice,,,
Nafisa Grocery Store,supermarket,1.3417884,103.6885444,,Jurong West Street 91,,
Indian (Tamil) Grocery Store,supermarket,1.3415839,103.6920953,,,,
Indian Grocery Store,supermarket,1.3417003,103.6925857,,,,
NTUC Fairprice,supermarket,1.3269686,103.8464206,NTUC Fairprice,Ah Hood Road,,
FairPrice Finest,supermarket,1.3036947,103.9029454,,Marine Parade Road,,
Fairprice Xpress,supermarket,1.3082402,103.907885,NTUC Fairprice,,,
Sheng Siong,supermarket,1.3014833,103.7985027,Sheng Siong,Tanglin Halt Road,https://www.shengsiong.com.sg,
NTUC FairPrice,supermarket,1.2847507,103.8293553,NTUC Fairprice,,,
Sheng Siong,supermarket,1.4315023,103.7737451,,Woodlands Street 31,,
NTUC FairPrice,supermarket,1.3652321,103.8650384,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.331762,103.8505926,NTUC Fairprice,,,
Cold Storage,supermarket,1.3098863,103.902122,,Joo Chiat Road,,
NTUC FairPrice,supermarket,1.3970146,103.7472724,NTUC Fairprice,Choa Chu Kang Drive,,+65 6769 3819
Sheng Siong,supermarket,1.3783815,103.7538826,,Teck Whye Lane,,
Prime,supermarket,1.3807961,103.7518581,,,,
NTUC FairPrice,supermarket,1.3800132,103.7532539,,,,
Prime,supermarket,1.3778535,103.744165,,,,
NTUC Fairprice,supermarket,1.3088289,103.8619207,NTUC Fairprice,French Road,,
Giant,supermarket,1.3321583,103.8573011,,Blk 260 Kim Keat Avenue,,
Cold Storage,supermarket,1.3075324,103.8289836,,Orchard Road,,
FairPrice Xtra @ Sports Hub,supermarket,1.3041749,103.8728359,,,,
Bes Price Minimart,supermarket,1.312588,103.9000383,,Joo Chiat Road,,
Gateway Minimart & Trading,supermarket,1.3146529,103.8985494,,Joo Chiat Road,,
Al Barakah,supermarket,1.3151015,103.8982503,,Joo Chiat Road,,
81 Wholesalers & Trading,supermarket,1.3142952,103.8988241,,Joo Chiat Road,,
I-Tec,supermarket,1.3095028,103.8574489,,,,
Koryo Mart,supermarket,1.2804239,103.8473639,,Telok Ayer Street,http://www.koryo.com.sg/,+65 6423 0115
Tanjong Hwaro,supermarket,1.2782263,103.8438656,,Tanjong Pagar Road,http://www.koryo.com.sg/,+65 6222 1646
Cold Storage,supermarket,1.2746068,103.8443166,,Enggor Street,,
NTUC Fairprice,supermarket,1.3049616,103.7814866,NTUC Fairprice,Dover Crescent,https://www.fairprice.com.sg/,+65 6552 2722
Giant,supermarket,1.3102679,103.7880372,,Ghim Moh Road,https://www.giantsingapore.com.sg/,+65 6466 5996
NTUC FairPrice,supermarket,1.3328116,103.8472498,NTUC Fairprice,Lorong 6 Toa Payoh,,
Sheng Siong,supermarket,1.3080768,103.7858814,Sheng Siong,Ghim Moh Link,https://www.shengsiong.com.sg/,+65 6268 9010
Cold Storage,supermarket,1.3128367,103.9235157,,First Street,,
NTUC Fairprice,supermarket,1.3551916,103.9883413,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3561808,103.9863723,NTUC Fairprice,Airport Boulevard,https://www.fairprice.com.sg/,+65 6242 6653
Cold Storage,supermarket,1.319605,103.8271903,,,,
CS Fresh,supermarket,1.3227092,103.8144067,,Upper Bukit Timah Road,https://coldstorage.com.sg/,+65 6763 0815
NTUC FairPrice,supermarket,1.3242903,103.9238735,,,,
Giant Express,supermarket,1.3481032,103.6855222,,"Students Walk, NTU Canteen 2",,
Prime Supermarket,supermarket,1.3468178,103.6809884,,,https://www.primesupermarket.com/,+656694 2021
NTUC Pasar,supermarket,1.3777363,103.7726306,,,,
Giant,supermarket,1.3786855,103.7728973,,Blk 256 Bangkit Road,,
Sheng Siong,supermarket,1.3879115,103.7699226,Sheng Siong,Segar Road,,
Cold Storage,supermarket,1.3017518,103.7695285,,Clementi Road,,
NTUC Fairprice,supermarket,1.3142787,103.8887345,NTUC Fairprice,Geylang Lorong 38,,
Cold Storage,supermarket,1.2920393,103.8425504,,Clemenceau Avenue,https://coldstorage.com.sg/,
NTUC Fairprice,supermarket,1.4069699,103.9016244,NTUC Fairprice,Waterway Point,,+65 6385 8959
Indian Grocery Store,supermarket,1.3437025,103.689662,,,,
Indian Grocery Store,supermarket,1.3433926,103.6908111,,,,
Indian Grocery Store,supermarket,1.3415355,103.6909282,,,,
Convenience Store,supermarket,1.3415163,103.6909,,,,
TL98 International Provision Shop,supermarket,1.4313522,103.8290218,,,,
FairPrice,supermarket,1.3665818,103.8415821,,Ang Mo Kio Street 22,,
NTUC FairPrice,supermarket,1.3245854,103.9414492,NTUC Fairprice,,,
Sheng Siong,supermarket,1.3529769,103.7437581,Sheng Siong,Bukit Batok West Avenue 6,,
Sheng Siong,supermarket,1.3555088,103.7392341,,Bukit Batok West Avenue 8,,
Sheng Siong,supermarket,1.3324563,103.9255968,,Bedok North Street 3,,
NTUC Fairprice,supermarket,1.2731352,103.8090769,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3076622,103.8848527,NTUC Fairprice,Jalan Tiga,,+65 6242 5707
Ellyza Frozen Food,supermarket,1.4405928,103.8018411,,Woodlands Avenue 6,https://ellyza.myshopify.com/,97721226
,supermarket,1.3121463,103.7596285,,,,
Ang Mo Supermarket,supermarket,1.3362868,103.8480895,,Lorong 4 Toa Payoh,,
NTUC Fairprice,supermarket,1.3244802,103.9288247,NTUC Fairprice,,,
HAO Eccellente,supermarket,1.3149206,103.8945139,,Tanjong Katong Road,https://www.haomart.com.sg/,
Cold Storage,supermarket,1.2470189,103.8397133,Cold Storage,Cove Avenue,,
Sheng Siong,supermarket,1.312653,103.8786231,Sheng Siong,Lorong 15 Geylang,https://www.shengsiong.com.sg/,+65 6846 1766
Tuas South Supermarket,supermarket,1.2951161,103.6268595,,,,
NTUC Fairprice,supermarket,1.3785209,103.7639776,NTUC Fairprice,Petir Road,https://www.fairprice.com.sg/,+65 6769 4868
Cold Storage,supermarket,1.294999,103.8591405,,"3 Temasek Boulevard, Suntec City",https://coldstorage.com.sg/,6336 6779
Giant Express,supermarket,1.3421799,103.7761711,Giant Hypermarket,Upper Bukit Timah Road,,
Sheng Siong,supermarket,1.2869661,103.8416702,Sheng Siong,Chin Swee Road,,
Giant,supermarket,1.3497894,103.725451,,Jurong West Street 41,,
Warehouse Club,supermarket,1.3272092,103.6786571,,Joon Koon Circle,http://www.warehouseclub.com.sg/,+65 6710 4584
NTUC FairPrice,supermarket,1.315391,103.8985788,NTUC Fairprice,,,
Giant,supermarket,1.3809089,103.8792312,,Buangkok Crescent,,
Sheng Siong,supermarket,1.3292654,103.88833,,Circuit Road,,
NTUC Fairprice,supermarket,1.3850202,103.7604035,NTUC Fairprice,Senja Road,,+65 6763 1076
NTUC FairPrice,supermarket,1.371469,103.8470492,NTUC Fairprice,Ang Mo Kio Avenue 6,,
NTUC Fairprice,supermarket,1.3602084,103.9534624,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3657245,103.7493073,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.348632,103.7492808,,,,
Cold Storage,supermarket,1.3501202,103.7494149,,Bukit Batok Central Link,,
208e Geylang,supermarket,1.3119052,103.8765016,,Geylang Road,,
Sheng Siong,supermarket,1.3757418,103.8718519,Sheng Siong,Serangoon North Avenue 5,,
CS Fresh,supermarket,1.3636865,103.7643794,,Hillview Rise,https://coldstorage.com.sg/corporate/page/market-place,+65 67107161
Giant,supermarket,1.3854121,103.7662073,,"Blk 524A Jelapang Road, Greenridge Shopping Centre",,
German Market Place,supermarket,1.3243853,103.8094584,,Bukit Timah Road,,
Eat Organic,supermarket,1.3245822,103.8091521,,Bukit Timah Road,,
Fortune Supermarket,supermarket,1.4556955,103.8145673,,Sembawang Drive,,
Sheng Siong,supermarket,1.3079553,103.8572122,,Jalan Berseh,,
Mannai Supermarket,supermarket,1.3044903,103.8545898,,Jalan Besar,,
Giant,supermarket,1.2826694,103.8257856,,Blk 26 Jalan Membina,,
NTUC FairPrice,supermarket,1.2898277,103.8267592,NTUC Fairprice,Havelock Road,,
NTUC FairPrice,supermarket,1.3321123,103.9382333,NTUC Fairprice,Bedok North street 4,,
NTUC Fairprice,supermarket,1.3536024,103.9405041,NTUC Fairprice,Tampines Avenue 4,,
NTUC Fairprice,supermarket,1.3091415,103.7928136,NTUC Fairprice,Holland Drive,,+65 6773 6387
NTUC FairPrice,supermarket,1.3345284,103.7201308,NTUC Fairprice,Yung Sheng Road,,
Telok Blangah Mall,supermarket,1.2736798,103.8089509,,,,
Tampines Mart,supermarket,1.3543718,103.9600249,,Tampines Street 32,,
Sheng Siong,supermarket,1.4110086,103.9003954,Sheng Siong,Sumang Link,,
U Stars Supermarket,supermarket,1.4054147,103.8968874,,Punggol Way,,
U Stars Megamart,supermarket,1.403353,103.894994,,,,
Smart99,supermarket,1.353655,103.6881014,,,,
NTUC Fairprice,supermarket,1.4048623,103.9085261,NTUC Fairprice,Punggol Drive,,
Prime,supermarket,1.3232119,103.9240875,,,,
Trading Store,supermarket,1.3174181,103.6521903,,,,
NTUC FairPrice,supermarket,1.3744432,103.8856498,NTUC Fairprice,Hougang Avenue 4,,
NTUC FairPrice,supermarket,1.3718302,103.8941221,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.3863502,103.8931925,NTUC Fairprice,,,
Sheng Siong,supermarket,1.4336189,103.7799353,Sheng Siong,Woodlands Street 12,,
NTUC Fairprice,supermarket,1.4399794,103.8005133,NTUC Fairprice,Woodlands Drive 71,,
Isetan,supermarket,1.305645,103.831586,,,,
Shine Korea Supermarket,supermarket,1.3018337,103.8525786,,,,
U Stars Supermarket,supermarket,1.3964212,103.8890273,,Anchorvale Street,,
NTUC FairPrice,supermarket,1.3633878,103.8354915,NTUC Fairprice,Sin Ming Avenue,,+65 6264 3165
Ang Mo Supermarket,supermarket,1.3687701,103.8346254,,Ang Mo Kio Street 21,,
NTUC FairPrice,supermarket,1.3477065,103.7573892,,,,
Sheng Siong,supermarket,1.3023596,103.7637976,Sheng Siong,Clementi West Street 2,,
Giant (Express),supermarket,1.346701,103.757482,,Blk 284 Bukit Batok East Avenue 3,,
NTUC FairPrice,supermarket,1.4290442,103.7811686,,Woodlands Avenue 1,,+65 6893 1203
Iroha Mart,supermarket,1.3008678,103.8452662,,,,
U Stars Super Market,supermarket,1.3778545,103.7494678,,,,
Giant,supermarket,1.3299687,103.9019594,,Ubi Avenue 1,,
U Stars Supermarket,supermarket,1.3742952,103.7465004,,,,
Giant,supermarket,1.3334291,103.914137,,Bedok Reservoir Road,,
Sheng Siong,supermarket,1.3990861,103.8894388,Sheng Siong,Anchorvale Crescent,,
U Stars Supermarket,supermarket,1.3326569,103.9145443,,Bedok Reservoir Road,,
Little Farms,supermarket,1.3107524,103.795202,,Lorong Liput,,
Little Farms,supermarket,1.2930751,103.8267442,,River Valley Road,,
Little Farms,supermarket,1.3170084,103.8434398,,,,
Little Farms,supermarket,1.2768898,103.845801,,,,
Fair Price,supermarket,1.4110973,103.8435897,,,,
Sheng Siong,supermarket,1.3324962,103.8671383,Sheng Siong,Potong Pasir Avenue 2,https://corporate.shengsiong.com.sg/,+65 6908 4583
Ang Mo Supermarket,supermarket,1.3322734,103.8684226,,Potong Pasir Avenue 1,,
U Stars Xpress,supermarket,1.3175959,103.8524655,,Rangoon Road,,
U Stars Mega Mart,supermarket,1.3778764,103.7494081,,Keat Hong Link,https://www.ustarssupermarket.sg,
U Stars Supermarket,supermarket,1.3899417,103.8928342,,,,
NTUC Fairprice,supermarket,1.2738786,103.8013013,NTUC Fairprice,,,
Prime supermarket,supermarket,1.3210368,103.9347053,,,,
NTUC FairPrice,supermarket,1.3698274,103.8731096,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3773078,103.9035432,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.2934982,103.7846403,NTUC Fairprice,,,
Sheng Siong,supermarket,1.3487508,103.7032901,Sheng Siong,Jurong West Avenue 5,,
Prime,supermarket,1.3485988,103.6983097,,Jurong West Street 75,https://www.primesupermarket.com/,
I-Tec,supermarket,1.3134045,103.8851494,,Geylang Road,,
Yes Natural Retail,supermarket,1.3158211,103.8837425,,,,
Sheng Siong,supermarket,1.3522389,103.715901,,Jurong West Street 42,https://www.shengsiong.com.sg/,6562 2820
Shafen Supermarket,supermarket,1.3211109,103.7382196,,,,
Wah Cheong,supermarket,1.3096677,103.8842822,,,,
Swanston,supermarket,1.2854613,103.8430302,,New Market Road,https://www.facebook.com/Swanston-Your-Essential-Store-136511420255004/,+65 65356763
KDS Supermarket,supermarket,1.3127942,103.8711163,,,,
Maha mart,supermarket,1.2740384,103.8103393,,,,67746373
Scoop Wholefoods,supermarket,1.3047518,103.8234804,,,,
Prime SuperMarket,supermarket,1.4251164,103.8332429,,,,
UnPackt,supermarket,1.2772417,103.8486417,,,,
UnPackt,supermarket,1.3727295,103.8295882,,Jalan Kuras,,
Cold Storage,supermarket,1.3107963,103.8638602,,Kallang Avenue,https://coldstorage.com.sg/,
HAO Eccellente,supermarket,1.2924588,103.8583556,,Raffles Boulevard,https://www.haomart.com.sg/eccellente/,
SuperNature,supermarket,1.3061755,103.8288115,,,,
Don Don Donki,supermarket,1.311611,103.8565105,,,,+65 6444 2422
NTUC FairPrice,supermarket,1.3209299,103.8702956,NTUC Fairprice,Kallang Bahru,,+65 6298 5369
FairPrice,supermarket,1.3190161,103.8638661,,,,
NTUC FairPrice Finest,supermarket,1.2910424,103.8502148,,North Bridge Road,,
NTUC FairPrice,supermarket,1.331674,103.8685537,NTUC Fairprice,Upper Serangoon Road,,
NTUC FairPrice,supermarket,1.4289409,103.8359955,,Northpoint City,https://fairprice.com.sg/,+65 64813420
Sheng Siong,supermarket,1.4018757,103.8921304,Sheng Siong,Sumang Lane,,
Scarlett,supermarket,1.29999,103.8543229,,,,
NTUC FairPrice,supermarket,1.3487949,103.8496434,NTUC Fairprice,Bishan Street 13,,
NTUC Fairprice,supermarket,1.2769332,103.8313294,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3471669,103.7428387,,,,
NTUC FairPrice,supermarket,1.453886,103.8195194,,,,
NTUC Fairprice,supermarket,1.328377,103.8853008,NTUC Fairprice,,,
FairPrice Shop Blk 5 Eunos Crescent,supermarket,1.3211968,103.9035553,,,,
NTUC FairPrice Xtra,supermarket,1.3348478,103.9637744,NTUC Fairprice,Changi Business Park Avenue 1,https://www.fairprice.com.sg/,+65 66047548
NTUC Fairprice,supermarket,1.2864788,103.8083891,NTUC Fairprice,Jalan Bukit Merah,,
NTUC FairPrice,supermarket,1.3158326,103.8982559,,,,
NTUC FairPrice,supermarket,1.3923315,103.872624,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3425048,103.7393663,,,,
NTUC FairPrice,supermarket,1.3455068,103.7311864,,,,
NTUC Fairprice,supermarket,1.3485084,103.7241529,NTUC Fairprice,Jurong West Street 41,,
NTUC FairPrice,supermarket,1.4170652,103.8353476,,,,
NTUC FairPrice,supermarket,1.3920764,103.7429541,,Choa Chu Kang Street 51,,
NTUC FairPrice,supermarket,1.3317511,103.8791816,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.4112844,103.8435315,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.4027599,103.9133166,NTUC Fairprice,,,
NTUC Fairprice,supermarket,1.2863838,103.8142036,NTUC Fairprice,,,
NTUC FairPrice Finest,supermarket,1.3911684,103.8759756,NTUC FairPrice Finest,The Seletar Mall,https://fairprice.com.sg/,+65 63416177
NTUC FairPrice,supermarket,1.3540387,103.8707537,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3364335,103.8888115,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3554024,103.9325575,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3472751,103.9569647,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3126523,103.8727631,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3388217,103.8489919,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3117956,103.7591074,NTUC Fairprice,,,
NTUC FairPrice,supermarket,1.3320147,103.7226023,NTUC Fairprice,,,
NTUC FairPrice Finest,supermarket,1.4180875,103.8410061,,,,+65 6339 0802
NTUC FairPrice,supermarket,1.4246275,103.8466717,NTUC Fairprice,Yishun Ring Road,,
Cold Storage,supermarket,1.3314654,103.8067968,,Greenwood Avenue,,
Cold Storage,supermarket,1.2775827,103.8525052,,Straits View,,
Cold Storage,supermarket,1.3368125,103.783834,,Dunearn Road,,
NTUC FairPrice Xtra,supermarket,1.2647712,103.8230258,NTUC FairPrice,,https://www.fairprice.com.sg/,
Giant Express,supermarket,1.4499976,103.81414,,Blk 468B Admiralty Drive,,
Giant,supermarket,1.3742656,103.8392817,,Blk 161 Ang Mo Kio Avenue 4,,
Sheng Siong,supermarket,1.319175,103.7333208,Sheng Shiong,Penjuru Walk,,+65 68980345
